Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
neg_12_3_8,             -9.223372036854776e+18,             739.0,             14.464,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_5,             -9.223372036854776e+18,             659.0,             12.774,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
Bacteria;Fibrobacteres,             -9.223372036854776e+18,             1407.0,             6.019,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
neg_12_3_4,             -9.223372036854776e+18,             736.0,             14.611,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
Bacteria;Elusimicrobia,             -9.223372036854776e+18,             1385.0,             4.615,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_3,             -9.223372036854776e+18,             781.0,             15.355,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_1,             -9.223372036854776e+18,             615.0,             11.898,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_7,             -9.223372036854776e+18,             639.0,             12.549,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_4,             -9.223372036854776e+18,             743.0,             14.751,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
neg_12_3_7,             -9.223372036854776e+18,             580.0,             11.345,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
neg_12_3_5,             -9.223372036854776e+18,             648.0,             12.733,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
neg_12_3_0,             -9.223372036854776e+18,             650.0,             12.647,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
neg_12_3_1,             -9.223372036854776e+18,             568.0,             11.004,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
neg_12_3_6,             -9.223372036854776e+18,             648.0,             12.645,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_8,             -9.223372036854776e+18,             741.0,             14.671,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_0,             -9.223372036854776e+18,             663.0,             12.954,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
neg_12_3_2,             -9.223372036854776e+18,             755.0,             15.129,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_9,             -9.223372036854776e+18,             828.0,             16.364,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
poz_12_3_6,             -9.223372036854776e+18,             659.0,             13.151,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
