Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,Binary,Solver,Width,Gap,Objective
rbg086a,             inf,             11389.0,             0.129,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg035a,             inf,             998.0,             0.018,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg092a,             inf,             7280.0,             0.136,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg152,             inf,             6228.0,             0.507,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg020a,             inf,             4403.0,             0.001,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg021,             inf,             1387.0,             0.004,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg021,             inf,             4015.0,             0.003,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg021,             inf,             1387.0,             0.005,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg050c,             inf,             8009.0,             0.034,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg055a,             inf,             3653.0,             0.054,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg125a,             inf,             6217.0,             0.324,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg035a,             inf,             1477.0,             0.029,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg017,             inf,             1349.0,             0.002,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg172a,             inf,             7829.0,             0.722,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg016b,             inf,             1222.0,             0.003,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg019d,             inf,             1152.0,             0.003,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg021,             inf,             4010.0,             0.003,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg067a,             inf,             6942.0,             0.058,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg042a,             inf,             1468.0,             0.023,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg132,             inf,             8372.0,             0.330,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg040a,             inf,             3718.0,             0.017,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg021,             inf,             1387.0,             0.004,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg049a,             inf,             9911.0,             0.033,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg031a,             inf,             1213.0,             0.012,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg021,             inf,             1387.0,             0.005,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg048a,             inf,             6699.0,             0.036,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg019a,             2694.0,             2694.0,             0.000,            false,             false,            false,            -,            false,            TD,            20,            0.000,            2694.0
rbg021,             inf,             3990.0,             0.003,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg193,             inf,             7868.0,             0.976,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg017,             inf,             1797.0,             0.001,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg034a,             inf,             2166.0,             0.012,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
rbg041a,             inf,             1522.0,             0.049,            false,             false,            false,            -,            false,            TD,            20,            1.000,            0.0
